"id","title.orig","title.Arab","title.Latn","language.main","language.other","date.onset","date.terminus","location.id","toponym","toponym.Arab","toponym.Latn","lat","long","holdings","digitised"
"jaraid:t1r881","الغازي","الغازي","al-Ghāzī","ar","NA","1901-12-12","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r3026","العفة","العفة","al-ʿIffa","ar","NA","1901-12-17","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","F","F"
"jaraid:t1r882","الامل","الامل","al-Amal","ar","NA","1901-12-20","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r883","الشرق المصور","الشرق المصور","al-Sharq al-Muṣawwar","ar","NA","1901-12-21","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r884","السهام","السهام","al-Sihām","ar","NA","1902","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r1518","الحق الوهراني","الحق الوهراني","al-Ḥaqq al-Wihrānī","ar","NA","1902","","geon:2485926","Oran","وهران","Wihrān","35.69906","-0.63588","F","F"
"jaraid:t1r1373","بوق القداسة","بوق القداسة","Būq al-Qaddāsa","ar","NA","1902","","geon:359783","Asyut","أسيوط","Asyut","27.18096","31.18368","F","F"
"jaraid:t1r885","صوق العصر","صوق العصر","Ṣūq al-ʿAṣr","ar","NA","1902","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r1983","ظريفة المعاني","ظريفة المعاني","Ẓarīfat al-Maʿānī","ar","NA","1902","","geon:359493","Zagazig","الزقازيق","al-Zaqāzīq","30.58768","31.502","F","F"
"jaraid:t1r1541","الطب الحديث","الطب الحديث","al-Ṭibb al-Ḥadīth","ar","NA","1902-01-01","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r1542","الاستقلال","الاستقلال","al-Istiqlāl","ar","NA","1902-01-15","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r2349","العلمية","العلمية","al-ʿIlmiyya","ar","NA","1902-01-20","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","F","F"
"jaraid:t1r886","ابو زيد","ابو زيد","Abū Zayd","ar","NA","1902-02-20","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r3314","البيان","البيان","al-Bayān","ar","NA","1902-03-01","","geon:1264733","Lucknow","مدينة لكنأو","Lucknow","26.83928","80.92313","F","F"
"jaraid:t1r1255","الاعلان","الاعلان","al-Iʿlān","ar","NA","1902-03-01","","geon:361058","Alexandria","الإسكندرية","al-Iskandariyya","31.20176","29.91582","F","F"
"jaraid:t1r1254","المنصور","المنصور","al-Manṣūr","ar","NA","1902-03-01","","geon:361058","Alexandria","الإسكندرية","al-Iskandariyya","31.20176","29.91582","F","F"
"jaraid:t1r2350","النهضة الادبية","النهضة الادبية","al-Nahḍa al-Adabiyya","ar","NA","1902-03-01","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","F","F"
"jaraid:t1r2351","صدى الاستعدادية","صدى الاستعدادية","Ṣadā al-Istiʿdādiyya","ar","NA","1902-03-02","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","F","F"
"jaraid:t1r1543","الايام","الايام","Mirʾāt al-Ayyām","ar","NA","1902-03-04","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r887","المصور","المصور","al-Muṣawwar","ar","NA","1902-03-06","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r2352","الرقيب","الرقيب","al-Raqīb","ar","NA","1902-03-12","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","F","F"
"jaraid:t1r888","العجائب","العجائب","al-ʿAjāʾib","ar","NA","1902-03-16","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r889","العمران","العمران","al-ʿUmrān","ar","NA","1902-03-16","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r890","الرشيد","الرشيد","al-Rashīd","ar","NA","1902-04-01","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r1544","التلميذ الشرقي","التلميذ الشرقي","al-Tilmīdh al-Sharqī","ar","NA","1902-04-01","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r2353","الاقبال","الاقبال","al-Iqbāl","ar","NA","1902-04-09","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","T"
